,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp (F),Wind speed
0,Kapaa,40,US,1541296560,62,22.08,-159.32,82.04,20.8
1,Daru,64,SL,1541299384,91,7.99,-10.85,74.16,2.08
2,Nanortalik,0,GL,1541299385,97,60.14,-45.24,30.28,28.59
3,Russkiy Kameshkir,92,RU,1541299385,75,52.86,46.09,36.31,12.03
4,Airai,8,TL,1541299385,50,-8.93,125.41,86.49,1.03
5,Fortuna,0,ES,1541298600,81,38.18,-1.13,51.8,6.93
6,Aklavik,40,CA,1541296800,84,68.22,-135.01,-0.41,3.36
7,Rocha,0,UY,1541299386,94,-34.48,-54.34,51.66,3.27
8,La Ronge,90,CA,1541296800,89,55.1,-105.3,32.0,9.17
9,Goderich,36,CA,1541299299,85,43.74,-81.71,41.08,10.25
10,Brewster,1,US,1541297700,49,41.76,-70.08,51.08,23.04
11,Yining,8,CN,1541299386,59,29.04,114.56,72.0,3.31
12,Busselton,0,AU,1541299387,94,-33.64,115.35,65.16,15.05
13,Sarangani,56,PH,1541299387,100,5.4,125.46,82.03,1.86
14,Batagay,36,RU,1541299387,73,67.65,134.64,-11.44,4.21
15,Conde,92,BR,1541299387,87,-11.81,-37.61,77.4,9.75
16,Iskateley,80,RU,1541299388,99,67.68,53.15,26.1,10.25
17,Severo-Kurilsk,64,RU,1541299388,89,50.68,156.12,45.58,13.11
18,Oranjemund,92,ZA,1541299388,95,-28.55,16.43,58.86,16.46
19,Coquimbo,0,CL,1541296800,87,-29.95,-71.34,55.4,5.77
20,Manzhouli,44,CN,1541299388,57,49.6,117.43,20.34,4.61
21,Henties Bay,92,NA,1541299389,100,-22.12,14.28,59.31,6.89
22,Upernavik,24,GL,1541299389,100,72.79,-56.15,18.58,10.31
23,College,1,US,1541296680,89,64.86,-147.8,10.04,3.27
24,Bambous Virieux,40,MU,1541296800,88,-20.34,57.76,71.6,6.11
25,Cape Town,40,ZA,1541296800,77,-33.93,18.42,62.6,16.11
26,Atuona,0,PF,1541299390,100,-9.8,-139.03,80.46,13.44
27,Punta Arenas,40,CL,1541296800,66,-53.16,-70.91,50.0,26.4
28,Torbay,75,CA,1541296800,93,47.66,-52.73,60.8,20.8
29,Manokwari,12,ID,1541299391,100,-0.87,134.08,83.2,6.51
30,Saskylakh,64,RU,1541299391,74,71.97,114.09,-3.16,3.31
31,Lorengau,56,PG,1541299391,100,-2.02,147.27,83.56,7.52
32,Moron,92,VE,1541299391,95,10.49,-68.2,70.51,2.86
33,Port Hardy,90,CA,1541296800,93,50.7,-127.42,51.8,5.82
34,Hermanus,36,ZA,1541299392,80,-34.42,19.24,56.83,5.5
35,Provideniya,68,RU,1541299392,100,64.42,-173.23,35.1,4.83
36,Bontang,64,ID,1541299392,97,0.12,117.47,83.47,1.97
37,Mataura,92,NZ,1541299392,73,-46.19,168.86,50.98,24.96
38,Cacu,88,BR,1541299392,92,-18.56,-51.13,70.29,9.91
39,Barrow,0,AR,1541299393,91,-38.31,-60.23,50.8,3.04
40,Castro,88,CL,1541299393,99,-42.48,-73.76,49.14,11.77
41,Dikson,68,RU,1541299393,95,73.51,80.55,24.52,21.09
42,Lata,24,IN,1541299394,99,30.78,78.62,42.39,1.86
43,Kalmar,0,SE,1541298000,100,56.66,16.36,26.6,5.61
44,Saint-Pierre,90,FR,1541298600,86,48.95,4.24,33.8,3.36
45,Kieta,88,PG,1541299395,98,-6.22,155.63,82.12,4.72
46,Pacific Grove,1,US,1541296500,64,36.62,-121.92,68.0,4.83
47,Saint-Georges,92,CA,1541299395,90,46.12,-70.67,34.56,15.79
48,Albany,75,US,1541296500,60,42.65,-73.75,44.96,19.46
49,Jawhar,0,IN,1541299396,67,19.91,73.23,80.91,4.05
50,Lovozero,68,RU,1541299459,86,68.01,35.02,25.11,2.59
51,Almansa,0,ES,1541296800,73,38.87,-1.1,33.8,2.24
52,Guerrero Negro,0,MX,1541299459,94,27.97,-114.04,64.89,8.41
53,Rikitea,68,PF,1541299459,95,-23.12,-134.97,75.33,20.54
54,Cockburn Town,88,TC,1541299460,99,21.46,-71.14,81.9,19.08
55,Caucaia,75,BR,1541296800,78,-3.73,-38.66,80.6,12.75
56,Saint-Philippe,90,CA,1541297700,69,45.36,-73.48,39.2,24.16
57,Jamestown,88,AU,1541299184,46,-33.21,138.6,80.91,9.86
58,East London,76,ZA,1541299461,88,-33.02,27.91,71.73,25.57
59,Ushuaia,40,AR,1541296800,62,-54.81,-68.31,51.8,18.34
60,Laguna,5,MX,1541295600,47,27.52,-110.01,75.2,4.7
61,Teya,75,MX,1541296020,94,21.05,-89.07,73.4,6.93
62,Ribeira Grande,8,PT,1541299323,99,38.52,-28.7,67.41,19.04
63,Hualmay,20,PE,1541299462,91,-11.1,-77.61,61.51,4.83
64,Port Lincoln,92,AU,1541299462,77,-34.72,135.86,66.37,3.38
65,Emerald,0,AU,1541299462,38,-23.53,148.16,93.51,4.5
66,Axim,92,GH,1541299462,100,4.87,-2.24,80.01,6.4
67,Constitucion,20,MX,1541295900,51,23.99,-104.67,59.0,6.93
68,Mariinsk,80,RU,1541299463,81,56.21,87.75,15.3,10.31
69,Boyolangu,12,ID,1541299463,54,-8.09,111.9,88.15,5.28
70,Kijini,88,TZ,1541299463,99,-5.85,39.32,77.62,8.63
71,Pokhara,64,NP,1541299463,78,28.21,83.99,58.95,2.37
72,Sorland,92,NO,1541299464,100,67.67,12.69,48.51,38.83
73,Todos Santos,5,MX,1541295840,73,23.45,-110.23,77.0,5.82
74,Pangnirtung,80,CA,1541299464,100,66.15,-65.72,12.15,4.27
75,Ahipara,8,NZ,1541299464,77,-35.17,173.16,62.68,20.15
76,Chamba,80,IN,1541299464,85,32.56,76.12,41.85,1.74
77,Saint George,40,GR,1541296200,87,39.45,22.34,53.6,2.24
78,Makubetsu,20,JP,1541296800,38,42.84,143.34,60.8,4.7
79,Touros,100,BR,1541299465,87,-5.2,-35.46,78.43,14.38
80,Havre-Saint-Pierre,90,CA,1541297220,93,50.23,-63.6,35.6,27.51
81,Pevek,76,RU,1541299466,100,69.7,170.27,12.91,2.26
82,Qaqortoq,0,GL,1541296200,44,60.72,-46.03,21.2,5.82
83,Vestmannaeyjar,0,IS,1541299466,100,63.44,-20.27,35.55,24.45
84,Umba,88,RU,1541299466,100,66.69,34.34,36.4,10.58
85,Cidreira,76,BR,1541299466,95,-30.17,-50.22,64.44,5.77
86,Pisco,0,PE,1541296800,82,-13.71,-76.2,66.2,13.87
87,Kavieng,48,PG,1541299467,100,-2.57,150.8,83.88,8.34
88,Hilo,40,US,1541296560,73,19.71,-155.08,77.0,3.36
89,Nantucket,1,US,1541297700,47,41.28,-70.1,51.08,21.92
90,Yellowknife,90,CA,1541296800,85,62.45,-114.38,12.2,8.05
91,Salalah,0,OM,1541296200,60,17.01,54.1,75.2,2.24
92,Mar del Plata,0,AR,1541299468,49,-46.43,-67.52,60.52,19.04
93,Vila,0,IT,1541298000,93,45.18,8.4,55.4,6.93
94,Loncoche,90,CL,1541296800,82,-39.37,-72.63,55.4,13.87
95,Hithadhoo,44,MV,1541299469,100,-0.6,73.08,78.3,7.0
96,Praia,0,BR,1541296800,60,-20.25,-43.81,73.4,5.82
97,Hastings,0,NZ,1541299469,71,-39.64,176.84,63.31,25.64
98,Vao,0,EE,1541299470,94,59.1,26.19,36.63,4.83
99,Guira de Melena,75,CU,1541296500,94,22.79,-82.51,73.4,6.93
100,Butaritari,0,KI,1541299533,100,3.07,172.79,84.51,6.4
101,Esfarayen,0,IR,1541296800,86,37.08,57.51,28.4,1.81
102,La Suiza,75,CR,1541296800,94,9.85,-83.61,69.8,4.7
103,Tasiilaq,88,GL,1541296200,67,65.61,-37.64,23.0,6.93
104,Mandalgovi,0,MN,1541299534,80,45.76,106.27,22.95,4.61
105,Bose,75,IT,1541298000,100,45.46,8.01,55.4,2.24
106,Labuhan,20,ID,1541299534,74,-2.54,115.51,85.18,1.97
107,Camacha,75,PT,1541298600,77,33.08,-16.33,64.4,14.99
108,Hasaki,75,JP,1541298600,68,35.73,140.83,66.2,5.82
109,Port Alfred,56,ZA,1541299535,66,-33.59,26.89,71.32,14.83
110,Paranhos,32,PY,1541299535,91,-23.89,-55.43,70.74,7.07
111,Sendhwa,32,IN,1541299535,52,21.69,75.09,80.91,3.76
112,Vila Velha,75,BR,1541296800,78,-3.71,-38.6,80.6,12.75
113,Sao Joao da Barra,24,BR,1541299536,94,-21.64,-41.05,77.4,26.24
114,Tshikapa,92,CD,1541299536,100,-6.42,20.79,68.13,2.48
115,Ponta do Sol,68,BR,1541299536,97,-20.63,-46.0,63.9,3.87
116,Ullal,20,IN,1541298600,83,12.8,74.85,78.8,3.36
117,Carnarvon,24,ZA,1541299537,56,-30.97,22.13,58.36,9.86
118,Angoche,92,MZ,1541299537,100,-16.23,39.91,76.72,18.03
119,Alpena,1,US,1541297700,84,45.06,-83.43,32.0,7.9
120,Bredasdorp,80,ZA,1541296800,77,-34.53,20.04,62.6,5.82
121,Zhigalovo,44,RU,1541299538,58,54.81,105.15,24.43,4.38
122,Port Elizabeth,1,US,1541296560,82,39.31,-74.98,53.06,9.86
123,Bluff,0,AU,1541299538,36,-23.58,149.07,93.15,4.54
124,New Norfolk,75,AU,1541296800,45,-42.78,147.06,62.6,12.75
125,Mayo,5,CA,1541296800,71,63.59,-135.9,3.2,8.05
126,Les Cayes,20,HT,1541299539,99,18.19,-73.75,82.3,9.13
127,Flinders,24,AU,1541299539,43,-34.58,150.85,76.9,4.72
128,Char Bhadrasan,0,BD,1541298600,78,23.32,90.22,80.6,5.82
129,Mount Isa,0,AU,1541296800,15,-20.73,139.49,100.4,11.41
130,Chokurdakh,32,RU,1541299540,72,70.62,147.9,-10.36,3.38
131,Tuktoyaktuk,40,CA,1541296800,84,69.44,-133.03,-0.41,6.93
132,Vaini,48,IN,1541299541,93,15.34,74.49,74.65,5.88
133,Hobart,75,AU,1541296800,45,-42.88,147.33,62.6,12.75
134,Thompson,90,CA,1541298900,92,55.74,-97.86,21.2,4.7
135,Kruisfontein,36,ZA,1541299541,67,-34.0,24.73,63.99,13.04
136,Talara,44,PE,1541299542,79,-4.58,-81.27,69.21,8.63
137,Xining,44,CN,1541299542,75,36.62,101.77,28.53,3.6
138,Alofi,0,NU,1541296800,50,-19.06,-169.92,77.0,13.87
139,Mubi,20,NG,1541299542,58,10.27,13.26,63.99,2.53
140,Warwick,1,US,1541296560,47,41.7,-71.42,50.0,17.22
141,Ancud,100,CL,1541299543,98,-41.87,-73.83,51.48,15.95
142,Boca de Parita,92,PA,1541299543,100,8.02,-80.45,74.02,3.76
143,Hamilton,5,BM,1541296500,78,32.3,-64.78,73.4,11.41
144,San Cristobal,75,EC,1541296800,71,-0.39,-78.55,57.2,2.24
145,Teguise,90,ES,1541298600,68,29.06,-13.56,69.8,13.87
146,Arlit,0,NE,1541299544,30,18.74,7.39,63.63,5.06
147,Koslan,88,RU,1541299544,99,63.46,48.9,36.22,3.71
148,Eureka,20,US,1541299200,93,40.8,-124.16,51.98,5.82
149,Mangan,0,IN,1541299545,67,27.5,88.54,36.13,0.81
150,Banjar,68,ID,1541299608,81,-7.37,108.54,79.51,3.83
151,Tilichiki,76,RU,1541299608,93,60.47,166.1,18.13,4.21
152,Ano Mera,0,GR,1541298000,72,37.45,25.4,62.6,19.46
